2019/05/01 19:05:33 Initiating coarse search
2019/05/01 19:05:33 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:05:33 Seeds: [7 7]
2019/05/01 19:05:33 open /home/sindreno/go/src/github.com/PolymerGuy/tinyOpt/_ABQSim/inputfile.txt: no such file or directory
2019/05/01 19:06:18 Initiating coarse search
2019/05/01 19:06:18 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:06:18 Seeds: [7 7]
2019/05/01 19:11:15 Pw2PyYvs4ir5AbcNGTJNCh [6.999999999999993 3.549999999999998] 0.048926904012668755
2019/05/01 19:11:15 xuobrJCtYCphK3jDC9nUvC [7.0999999999999925 3.4499999999999984] 0.04850210830284699
2019/05/01 19:11:15 ZxJAL6zN8oQ3arJbgWxqEb [7.024999999999991 3.549999999999998] 0.030438545414718767
2019/05/01 19:11:15 Vc4tkgNJCyK6MKbVNgTzVb [6.974999999999987 3.6499999999999977] 0.03921653299122834
2019/05/01 19:11:15 yHmSx4qDAwjrxZKzezr2bk [6.9749999999999925 3.549999999999998] 0.07096678654798877
2019/05/01 19:11:15 8Q7p8LEqcMKArFk2Druc9P [7.0687499999999925 3.4749999999999983] 0.0367845292192465
2019/05/01 19:11:15 JsL4iBiBA83qoVQQEPWp33 [7.043749999999987 3.5749999999999984] 0.02156325515178076
2019/05/01 19:11:16 XDcCeU72EuaW4fdiJJ4L3i [7.040624999999983 3.6374999999999984] 0.023985307397454803
2019/05/01 19:11:16 iPdTSosiArZFAiRtXsWzHM [6.999999999999984 3.649999999999998] 0.016308972359216897
2019/05/01 19:11:16 H5XFb4mQY9oCiJntfQX4KJ [6.96562499999998 3.737499999999998] 0.023520771339286456
2019/05/01 19:11:16 ChjqxAXsyKzSpPXM8W7nEE [7.01874999999998 3.674999999999998] 0.011831292821564365
2019/05/01 19:11:16 JR8abXShbL8hf8UCGFWphM [7.015624999999975 3.737499999999998] 0.02645303484932877
2019/05/01 19:11:16 MX2JK5x8AE9izXer92S55d [6.974999999999978 3.7499999999999973] 0.012971837726683129
2019/05/01 19:11:16 2BaP4gRCxQtu2QcBcjALGZ [6.9937499999999755 3.7749999999999972] 0.01945379050627668
2019/05/01 19:11:16 wB4mkWipsiCmurWmP4XtF5 [6.998437499999982 3.6812499999999977] 0.007466296726142102
2019/05/01 19:11:16 NYog6inaKLduVcCy6XbAi6 [7.042187499999985 3.6062499999999984] 0.02099397081888037
